GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
NAT8L,0.9592925114197152,0.0,6.06947128076985e-05,0.0003458023310306296,0.0,0.040300991536447124
KCNH2,0.00024262928876687536,0.0,0.004089254446916266,9.493415358523718e-09,0.0,0.9956681067709001
MEGF11,0.9180357062530485,0.0,0.00033015352187247446,0.0014738913486812852,0.0,0.08016024887639801
EOMES,0.0001598235575565901,0.0,0.02196862237374635,0.9733728740636399,0.0,0.004498680005055724
KCNT1,4.198405028023119e-21,0.0,1.8124956002291483e-08,2.3497241307193967e-26,0.0,0.9999999818750426
NRXN2,0.9428925145961683,0.0,8.067723831726603e-05,0.002760145821769588,0.0,0.054266662343746
ONECUT1,3.1728413001639126e-10,0.0,0.9846297373173883,0.015370259850094041,0.0,2.5152335408626616e-09
EXOC6,0.9999235318587518,0.0,2.7776747527599136e-09,8.155620739867782e-06,0.0,6.830974283450948e-05
NSG1,0.4462887323203788,0.0,1.002826716079111e-07,0.023330095809941685,0.0,0.5303810715870079
TCHH,0.9369725862598673,0.0,0.0003307225360307694,0.06195083426828019,0.0,0.0007458569358226597
HOXC9,0.0,1.0,2.7209878101181284e-107,0.0,0.0,0.0
ATP6V1B1,1.61437680359269e-17,0.0,0.9995555174558926,3.3700841192845406e-09,0.0,0.0004444791740228076
ONECUT2,0.0741466964195144,0.0,0.00013086230691909548,0.92504426251038,0.0,0.0006781787631867007
GJA3,5.312181530992878e-07,0.0,0.030165628224321703,0.006077796216102247,0.0,0.9637560443414226
GRM4,0.040197181940736564,0.0,0.001676263704186198,0.00011514985533720962,0.0,0.9580114044997411
TBX5,3.4492680211965366e-43,0.0,0.9999881431629578,1.185683689045615e-05,0.0,1.5434719211582772e-13
MPPED1,2.6646307082836046e-07,0.0,0.00018301597216214424,7.597094336868703e-11,0.0,0.9998167174887977
IHH,4.208072505071339e-05,0.0,0.15361644248240508,9.910399651815066e-05,0.0,0.8462423727960278
IRX4,6.536416042967847e-06,0.0,0.07915565221370159,0.9172131990621867,0.0,0.0036246123080685404
SIX6,0.0005277967353482078,0.0,0.0019164676556384039,0.9975026320714211,0.0,5.310353759226811e-05
PDX1,3.098490008979267e-06,0.0,0.05198286952740243,0.9479971608209065,0.0,1.6871161683121273e-05
TCTE1,0.003985966310736129,0.0,1.0630733199332682e-08,0.9718463058691474,0.0,0.024167717189383292
RGS20,0.9872769580083676,0.0,6.477019481972538e-06,0.011474444394181445,0.0,0.0012421205779690342
ISLR2,0.34323052904804835,0.0,0.00026165674605583433,0.6537339759300449,0.0,0.0027738382758524427
SLC6A12,0.005997546007855516,0.0,5.6522032884944515e-05,0.024500297334709223,0.0,0.9694456346245492
SLC12A5,6.690785183972412e-07,0.0,1.3992985417250131e-05,0.7698157676070115,0.0,0.23016957032905327
DBH,2.200503390590638e-05,0.0,1.6938964847690186e-09,3.9639579295074144e-10,0.0,0.9999779928758026
NEUROG1,8.746559848523705e-05,0.0,0.001127569834952893,0.9987847716119848,0.0,1.929545768332344e-07
NEFL,0.022497465624979732,0.0,0.0006711583619670969,0.9409451817709429,0.0,0.03588619424211
POU3F3,0.00028492899366073425,0.0,0.8998485256778942,0.09965241900293587,0.0,0.0002141263255095003
PDE1B,0.0008499794045011324,0.0,0.25973390168421373,7.658597261438971e-11,0.0,0.7394161188346976
GFI1B,0.9999552710591424,0.0,7.186540386311225e-10,9.150505810499173e-06,0.0,3.5577716391288415e-05
NRG2,3.0302610416589756e-11,0.0,8.106026693341511e-10,0.9999999991581063,0.0,9.87133957677951e-13
