GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
TMEM230,2.468190089195039e-05,5.0313770712317674e-14,0.0,0.0,7.298726689175003e-18,1.0027327828772018e-10,3.102738480951282e-09,0.9999753148960459
USP21,0.0001913643653513775,5.473841290717961e-13,0.0,0.0,8.089429292643764e-17,1.1504465244914037e-09,2.6177937886535898e-08,0.9998086083057165
RPL37A,0.00010747014314514496,4.5468021988683627e-13,0.0,0.0,7.404687970332691e-17,6.853813010624596e-10,2.775596949987026e-08,0.9998925014150485
PHF21A,4.3391957871630435e-05,1.1389498472867091e-13,0.0,0.0,1.5059980906727225e-17,2.5397385664487156e-10,5.027525916047774e-09,0.9999566027605142
MUTYH,0.00011086405513760187,2.072790863079339e-13,0.0,0.0,2.8956902321181506e-17,4.438959469157278e-10,1.283529356767548e-08,0.9998891226654653
TUBGCP5,6.006779089898217e-05,1.3640405463699094e-13,0.0,0.0,1.859506175324391e-17,2.852640901716789e-10,8.181459952576928e-09,0.9999399237422413
NR1H2,0.9998734669623467,1.926415168274247e-08,0.0,0.0,1.6749338375433086e-12,7.723530760627357e-05,4.927834599656654e-05,1.182238771524912e-10
GLIPR1L2,0.00030386579897871756,9.478257570708836e-13,0.0,0.0,1.3416542691452413e-16,1.4407192068674693e-09,4.8920522926757824e-08,0.9996960838388317
PRKCI,0.008494561668763391,1.3490622962520292e-11,0.0,0.0,1.4997680050941613e-15,3.921514062015749e-08,6.703163807047402e-07,0.9915047287862235
CHD8,0.00031279856566733864,1.4803711582600274e-12,0.0,0.0,2.39453151196364e-16,2.1047719226313027e-09,7.650685454830452e-08,0.9996871228212257
PCYOX1,0.005321800546016016,8.12362285743822e-12,0.0,0.0,1.0869951603114216e-15,1.6963606435360326e-08,6.234926172962607e-07,0.9946775589896348
SLC25A32,3.4936702349104595e-05,1.5107825681769394e-13,0.0,0.0,2.0297675327568806e-17,3.1040817877949726e-10,5.994257998394179e-09,0.9999650569928328
ANAPC1,0.00010868660939047016,1.9298654921207535e-13,0.0,0.0,2.74019765606787e-17,3.4049593557182675e-10,1.5231466669274165e-08,0.9998912978184535
SCRIB,0.998643864192385,9.455892627111587e-08,0.0,0.0,1.3900226258165815e-11,0.00015992187713275474,0.0011933361086201892,2.7832490355379764e-06
KRTAP26-1,7.120926328563846e-21,0.0004754408043601215,0.0,0.0,5.1808258525014426e-08,0.15422503399242934,0.8452994733949527,1.5177918736798563e-293
ORC3,3.288487193852797e-05,5.329333722220258e-14,0.0,0.0,7.462135659586347e-18,1.0079595236313696e-10,3.8726001471390404e-09,0.9999671111546115
POLR1A,3.803790554248744e-05,9.934176749415612e-14,0.0,0.0,1.3218699864015538e-17,2.1566371350752354e-10,5.044638140537218e-09,0.9999619568340565
VPS25,0.28479959548669465,8.755011145108602e-05,0.0,0.0,7.4243014562452345e-09,0.16830106811941628,0.5468117788581363,9.024636324452938e-40
RPL11,0.00011482408031187694,1.8816768206510735e-13,0.0,0.0,2.6126497093860726e-17,4.1313096363690117e-10,1.2089818483636243e-08,0.9998851634165501
SENP1,0.6339356075384687,0.00013286802187361654,0.0,0.0,1.2188544320699066e-08,0.3659312397690521,2.724820616413976e-07,8.155814893004299e-82
MTMR12,0.38513140968796095,4.903126581322452e-10,0.0,0.0,4.895556573763376e-14,1.8309014180020091e-06,1.7627843142616084e-05,0.6148491310771166
C2CD3,3.950334842702579e-05,1.232449236384097e-13,0.0,0.0,1.6325401726950798e-17,2.365613227989748e-10,5.882011692229283e-09,0.999960490532877
TLDC1,0.9996210318015468,2.5311385339943248e-08,0.0,0.0,3.0228013937930346e-12,5.926968119509044e-05,0.0003196730675787447,1.3527122516550164e-10
RCHY1,7.385449555342227e-05,1.1474077058958689e-12,0.0,0.0,1.800908941680469e-16,1.670568653153879e-09,3.064388526221465e-08,0.9999261131888453
CD27,0.9998539334473152,8.321357521654406e-09,0.0,0.0,1.0581605909410372e-12,2.0241189525524386e-05,0.0001257792722002682,3.776854328634219e-08
MPHOSPH9,0.00017746627823635066,5.879789190644338e-13,0.0,0.0,7.336972307174013e-17,1.3904225960066959e-09,2.6666406055954953e-08,0.9998225056643467
