GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
NR2E1,0.9999999999998792,3.5596211899957506e-17,0.0,0.0,0.0,7.01760493422338e-15,1.1496398277965749e-13
ADGRA1,0.001191823125167519,8.240446673050595e-05,0.0,0.0,0.0,0.9821936309148153,0.01653214149328725
IRF8,0.0027420066681030594,4.741079323427984e-05,0.0,0.0,0.0,0.956145245402998,0.04106533713566361
PCDH1,0.00028482591277666366,0.34474592330294707,0.0,0.0,0.0,0.6549675315534198,1.7192308578330736e-06
ZFHX3,0.1088455626170552,0.0862544520397105,0.0,0.0,0.0,0.04534817166579187,0.7595518136774441
DNAJB8,1.1526038199907679e-08,3.0683425620283473e-38,0.0,0.0,0.0,0.9993627844722046,0.0006372040017596709
SMUG1,0.012701184097110149,3.182678857143309e-08,0.0,0.0,0.0,0.9847222975599244,0.0025764865161782857
COL27A1,0.0005845573674891824,0.0028943689331268696,0.0,0.0,0.0,0.9963718148372769,0.00014925886210677782
EGFLAM,0.000655791244382207,0.9986406859026263,0.0,0.0,0.0,0.00018295580709590945,0.000520567045893941
DMRT3,0.9999999909763204,4.0272146203555456e-10,0.0,0.0,0.0,8.569244281932167e-09,5.1713558052949085e-11
NGFR,3.2951576614935283e-06,3.668541101026728e-26,0.0,0.0,0.0,0.9999934001224287,3.3047199102285747e-06
SOX7,0.028245401162211907,0.9346679703479487,0.0,0.0,0.0,0.03708633957301011,2.889168281345971e-07
EGR4,0.0685469940727807,0.8834341696868461,0.0,0.0,0.0,0.04635624319829051,0.001662593042082888
PTH1R,0.0001278545567895972,1.6340706289244926e-08,0.0,0.0,0.0,0.9875051444096136,0.012366984692891774
BRINP2,0.0843846247124083,0.8884547769459683,0.0,0.0,0.0,0.027089457262692893,7.11410789310958e-05
CD40,0.01283748161018261,1.1689040746916614e-06,0.0,0.0,0.0,0.13327201342686426,0.8538893360588791
CCDC33,3.8415776200101884e-05,4.6991482726242375e-15,0.0,0.0,0.0,0.024694931872862237,0.9752666523509343
NEUROD1,0.03063159255268591,0.9684762236989637,0.0,0.0,0.0,0.0008882896577769048,3.894090572654077e-06
EPHB3,0.0392866159053275,0.0011881788389715398,0.0,0.0,0.0,0.5305298233294292,0.42899538192627074
HOXD9,4.191125751781085e-196,0.0,0.0,1.0,0.0,0.0,0.0
SLIT1,0.01183982409042292,1.2451530843491098e-07,0.0,0.0,0.0,0.9819894231354005,0.006170628258866395
SPR,3.84896746379754e-05,2.4123640633485985e-11,0.0,0.0,0.0,9.101245022754848e-12,0.9999615102921381
NTF3,0.016788698551780473,0.883696651386006,0.0,0.0,0.0,0.09091883213903039,0.008595817923182507
DBX1,0.9821705498442884,0.01580676052303149,0.0,0.0,0.0,0.002022113694950902,5.759377291230091e-07
ATOH8,0.007761124849675696,6.5523303013758845e-12,0.0,0.0,0.0,4.056831996011109e-06,0.9922348183117743
SPAG6,0.049385940641103986,0.9207416227343787,0.0,0.0,0.0,0.004945395361107515,0.02492704126341089
CACNA1E,0.8898332539547027,0.08561242854397179,0.0,0.0,0.0,0.02445584781665163,9.846968467375615e-05
ZIC4,2.760531835271765e-12,3.2481176031403675e-53,0.0,0.0,0.9999999999972395,2.0952736073576095e-30,4.769240778591465e-47
CLDN9,1.5529082678115694e-06,0.9818280160258998,0.0,0.0,0.0,0.018169333744057624,1.0973217732490802e-06
DMBX1,0.0029970744991420868,6.997641775962611e-05,0.0,0.0,0.0,0.9924366733388561,0.004496275744240618
TNNT2,2.200484953098766e-07,3.465292857713514e-05,0.0,0.0,0.0,0.9999590722160948,6.054806832434068e-06
ALDH1A2,0.0163894058032782,0.9829968091980884,0.0,0.0,0.0,5.787203731651146e-06,0.0006079977949021136
