GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
STON2,0.0,0.8351157567686547,4.717456002566757e-86,1.8547717844680968e-15,0.010938299617115363,0.15394594361422886,0.0,0.0
SLC16A12,0.0,0.8745929901438224,3.548654461836752e-84,3.4194256891902406e-29,0.0010854323248933714,0.12432157753128358,0.0,0.0
PLA2G2A,0.0,0.3740026827856341,1.3779537583151018e-82,3.668484059845443e-30,0.0003696714474209143,0.6256276457669464,0.0,0.0
NFIA,0.0,0.9994034894572476,1.4932626805285212e-96,2.205790967151166e-09,7.068810735752607e-05,0.00052582022960421,0.0,3.9584318870682695e-48
ADGRL3,0.0,0.9766650992513892,1.0838262180013772e-92,1.7096666188641934e-21,1.7076704894907744e-05,0.02331782404371645,0.0,0.0
FOXP2,0.0,0.9661563462404497,5.19429058452633e-91,5.918928780249784e-57,0.0017468552224006685,0.03209679853714966,0.0,0.0
CCR2,0.0,0.0038131999013293833,6.927210620626976e-73,2.3463123328829095e-56,0.01821534691332644,0.9779714531853431,0.0,0.0
TM4SF5,0.0,0.2795641606730274,1.1445988281116545e-86,2.982103179948941e-23,0.0008724081401062158,0.7195634311868667,0.0,1.1631674e-317
BMPER,0.0,0.7227936185538311,1.47767406863335e-93,1.0477541114956188e-40,0.003920142057943619,0.273286239388226,0.0,0.0
IGFBP2,0.0,0.9676849795791707,9.230750367974965e-91,3.0048851748252966e-18,3.138203259085466e-05,0.03228363838823865,0.0,3.962993e-317
SHROOM3,0.0,0.9395969399290771,2.768815727244025e-100,0.059572884265550095,3.911025251142161e-06,0.0008262647801210063,0.0,2.9878108590713567e-109
FN1,0.0,0.9997122163415278,1.9059514140353917e-101,1.1419864080997428e-25,0.0002515595701149374,3.622408835709132e-05,0.0,0.0
RBP4,0.0,6.598255915785938e-07,2.9807084818905406e-61,4.6299880274778745e-79,0.006698317097464226,0.9933010230769455,0.0,0.0
KLF2,0.0,0.9985470571618456,7.988487777992032e-97,1.1781881197079098e-13,5.8585350100954794e-05,0.0013943574879372567,0.0,1.7375605095849684e-77
